FID,siteId,uwwCode,repCode,uwwName,uwwState,uwwE-PRTRCode,uwwCollectingSystem,uwwNUTS,uwwLoadEnteringUWWTP,uwwCapacity,uwwPrimaryTreatment,uwwSecondaryTreatment,uwwNRemoval,uwwPRemoval,uwwUV,uwwChlorination,uwwOzonation,uwwSandFiltration,uwwMicroFiltration,uwwSpecification,uwwBOD5Perf,uwwCODPerf,uwwTSSPerf,uwwNTotPerf,uwwPTotPerf,uwwOtherPerf,uwwBadPerfDesign,uwwLatitude,uwwLongitude,the_geom,uwwBODIncomingMeasured,uwwCODIncomingMeasured,uwwNIncomingMeasured,uwwPIncomingMeasured,uwwBODDischargeMeasured,uwwCODDischargeMeasured,uwwNDischargeMeasured,uwwPDischargeMeasured,uwwWasteWaterTreated,uwwMethodWasteWaterTreated,uwwRemarks,uwwDateClosing,uwwAccidents,uwwBadPerformance,uwwBODDischargeCalculated,uwwBODDischargeEstimated,uwwBODIncomingCalculated,uwwBODIncomingEstimated,uwwCODDischargeCalculated,uwwCODDischargeEstimated,uwwCODIncomingCalculated,uwwCODIncomingEstimated,uwwHistorie,uwwInformation,uwwNDischargeCalculated,uwwNDischargeEstimated,uwwNIncomingCalculated,uwwNIncomingEstimated,uwwPDischargeCalculated,uwwPDischargeEstimated,uwwPIncomingCalculated,uwwPIncomingEstimated,uwwOther,uwwTreatmentType,uwwTreatmentTypeRequired,uwwTreatmentMet,uwwPerformanceMet,uwwCompliance,repReportedPerdiod,uwwBeginLife,uwwEndLife
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b20,2018_uww_UKENTH_TWU_TP000110,UKENTH_TWU_TP000110,UK,MIDDLETON CHENNEY STW,1,,ISCON,UKF24,4200,4680,1,1,0,0,0,0,0,0,0,Land treatment,P,P,NR,NR,NR,,,52.06598818,-1.26329081,POINT (-1.2632908100000002 52.06598821731918),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b1f,2018_uww_UKENTH_TWU_TP000111,UKENTH_TWU_TP000111,UK,"MILL GREEN, HATFIELD, HERTS STW""",1,,ISCON,UKH23,18517,22079,1,1,0,1,0,0,0,0,1,,P,P,NR,NR,P,,,51.77415571,-0.19316383,POINT (-0.193163829 51.77415574760407),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b1e,2018_uww_UKENAN_AW_TP000081,UKENAN_AW_TP000081,UK,DONINGTON STW,1,,ISCON,UKF30,2616,2616,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,52.89749185,-0.22284993,POINT (-0.222849929 52.897491886451576),,,,,,,,,,,Increase in domestic pe,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b1d,2018_uww_UKENNE_YW_TP000049,UKENNE_YW_TP000049,UK,WALBUTTS   STW,1,,ISCON,UKE21,19204,20105,1,1,0,1,0,0,0,0,0,,P,P,NR,NR,P,,,54.04728376,-1.01394274,POINT (-1.013942741 54.0472837951232),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,More Stringent: Phosphorus,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b1c,2018_uww_UKSC_TP00002,UKSC_TP00002,UK,ABOYNE WWTP,1,,ISCON,UKM50,3593,3638,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,0,57.07269,-2.75687,POINT (-2.756870000000001 57.07269003102066),,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b1b,2018_uww_UKENMI_ST_TP000005,UKENMI_ST_TP000005,UK,ALVECHURCH STW,1,,ISCON,UKG12,9219,9335,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,52.34346603,-1.95373116,POINT (-1.953731161999999 52.34346606703873),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b1a,2018_uww_UKENSO_SW_TP000076,UKENSO_SW_TP000076,UK,PADDOCK WOOD STW,1,,ISCON,UKJ46,10589,10589,1,1,0,1,0,0,0,1,0,,P,P,NR,NR,P,,,51.18550455,0.3974754,POINT (0.397475404 51.18550458814641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b19,2018_uww_UKENSO_SW_TP000078,UKENSO_SW_TP000078,UK,HADLOW STW,1,,ISCON,UKJ46,3432,3437,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,51.21717192,0.33383412,POINT (0.333834115 51.21717195811836),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b18,2018_uww_UKENMI_ST_TP000006,UKENMI_ST_TP000006,UK,ARLEY STW,1,,ISCON,UKG13,3418,7000,1,1,0,0,0,0,0,0,0,Grass plots,P,P,NR,NR,NR,,,52.50351384,-1.59174685,POINT (-1.591746847 52.50351387687279),,,,,,,,,,,Resident Population reduced by 13%,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b17,2018_uww_UKENMI_ST_TP000007,UKENMI_ST_TP000007,UK,ARMITAGE STW,1,,ISCON,UKG24,6752,7500,1,1,0,0,0,0,0,0,0,Lagoons,P,P,NR,NR,NR,,,52.74516172,-1.87079961,POINT (-1.87079961 52.74516175661657),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b16,2018_uww_UKENSO_SW_TP000144,UKENSO_SW_TP000144,UK,KINGS SOMBOURNE OUT CSM DATA,1,,ISCON,UKJ36,2293,2293,1,1,0,0,0,0,0,1,0,,P,P,NR,NR,NR,,,51.05880047,-1.51432068,POINT (-1.5143206749999998 51.0588005082574),,,,,,,,,,,Increase in resident population. No other changes,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b15,2018_uww_UKENSO_SW_TP000143,UKENSO_SW_TP000143,UK,SWAY OUTLET CSM DATA,1,,ISCON,UKJ36,2603,2603,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,50.76765742,-1.59327405,POINT (-1.5932740510000003 50.76765745850453),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b14,2018_uww_UKWAWA_WW_TP000111,UKWAWA_WW_TP000111,UK,NESTON STW,1,,ISCON,UKD63,18268,18268,1,1,0,0,1,0,0,0,0,UV treatment,P,P,NR,NR,NR,,,53.28490746,-3.07029868,POINT (-3.070298677 53.284907496020104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b13,2018_uww_UKWAWA_WW_TP000112,UKWAWA_WW_TP000112,UK,WHITCHURCH STW,1,,ISCON,UKG22,11107,11107,1,1,0,1,0,0,0,1,0,,P,P,NR,NR,P,,,52.96714853,-2.72544922,POINT (-2.725449218000001 52.96714856637526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b12,2018_uww_UKWAWA_WW_TP000113,UKWAWA_WW_TP000113,UK,HOPE STW STW,1,,ISCON,UKL23,5655,8752,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,53.1151292,-3.04060193,POINT (-3.0406019283253 53.11512923152626),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b11,2018_uww_UKENAN_AW_TP000025,UKENAN_AW_TP000025,UK,BOURN STW,1,,ISCON,UKH12,3061,3800,1,1,0,0,0,0,0,1,0,,P,P,NR,NR,NR,,,52.20252084,-0.04569775,POINT (-0.045697747 52.20252087718234),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
